,Instance,Solution
704,"[5, 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 4, 6, 4, 7, 13]","[1, 17, 18, 19, 20]"
705,"[16, 19, 0, 16, 0, 0, 19, 13, 0, 14, 0, 18, 9, 16, 4, 0, 6, 12, 0, 13]","[7, 10, 12, 15, 17, 20]"
706,"[0, 0, 11, 14, 0, 17, 3, 13, 20, 14, 9, 0, 9, 4, 0, 18, 0, 0, 0, 0]","[6, 8, 11, 16]"
707,"[0, 13, 0, 0, 0, 2, 3, 13, 0, 0, 0, 18, 8, 0, 16, 15, 0, 12, 0, 11]","[7, 13, 16, 18, 20]"
708,"[5, 6, 7, 14, 0, 0, 5, 0, 13, 0, 0, 0, 0, 10, 16, 15, 0, 0, 7, 0]","[1, 9, 14, 16, 19]"
709,"[5, 13, 0, 15, 1, 17, 19, 0, 0, 14, 0, 15, 0, 4, 4, 14, 6, 4, 7, 13]","[5, 7, 10, 12, 17, 18, 20]"
710,"[0, 0, 7, 15, 1, 17, 19, 13, 2, 14, 3, 15, 8, 10, 0, 18, 0, 12, 2, 11]","[4, 5, 6, 7, 13, 14, 18, 20]"
711,"[5, 13, 11, 0, 7, 0, 0, 13, 0, 0, 9, 18, 0, 0, 16, 1, 6, 4, 2, 0]","[8, 11, 12, 15, 17, 19]"
712,"[16, 13, 11, 15, 0, 2, 3, 13, 0, 14, 20, 0, 9, 0, 0, 0, 0, 0, 2, 0]","[1, 8, 10, 11, 19]"
713,"[0, 9, 0, 0, 1, 2, 5, 13, 0, 14, 3, 15, 0, 16, 16, 4, 6, 0, 7, 0]","[8, 11, 12, 14, 17, 19]"
714,"[5, 20, 7, 0, 0, 17, 0, 13, 0, 14, 3, 0, 8, 10, 4, 0, 6, 0, 0, 0]","[1, 10, 11, 13, 15, 17]"
715,"[0, 13, 0, 0, 0, 2, 0, 13, 0, 0, 0, 0, 9, 0, 12, 15, 6, 0, 0, 11]","[16, 17, 20]"
716,"[5, 0, 0, 14, 7, 17, 5, 13, 20, 0, 0, 18, 0, 10, 16, 14, 0, 16, 7, 2]","[1, 6, 9, 12, 14, 19]"
717,"[0, 0, 11, 0, 0, 17, 19, 0, 20, 14, 9, 0, 0, 0, 4, 15, 0, 4, 0, 0]","[6, 7, 10, 11, 18]"
718,"[5, 0, 0, 18, 1, 17, 5, 0, 0, 14, 0, 15, 8, 4, 16, 14, 6, 0, 7, 11]","[1, 12, 13, 14, 17, 19, 20]"
719,"[5, 6, 11, 0, 1, 17, 3, 13, 11, 0, 0, 0, 0, 16, 4, 15, 0, 16, 0, 13]","[5, 6, 7, 18, 20]"
720,"[0, 0, 0, 18, 0, 17, 0, 0, 20, 0, 3, 15, 9, 0, 16, 0, 0, 16, 2, 13]","[6, 11, 12, 18, 20]"
721,"[0, 0, 7, 0, 1, 2, 19, 13, 0, 0, 0, 0, 8, 10, 0, 0, 0, 4, 7, 11]","[5, 7, 13, 18, 20]"
722,"[0, 0, 11, 0, 7, 0, 0, 13, 0, 14, 0, 0, 0, 0, 12, 1, 6, 16, 7, 11]","[15, 16, 17, 19, 20]"
723,"[0, 0, 7, 14, 0, 2, 0, 13, 20, 14, 0, 18, 0, 0, 12, 1, 0, 16, 2, 9]","[3, 6, 8, 15, 16]"
724,"[5, 13, 7, 18, 7, 0, 3, 0, 2, 14, 9, 15, 2, 0, 12, 15, 6, 0, 2, 0]","[1, 10, 11, 15, 17, 19]"
725,"[0, 0, 0, 15, 7, 17, 5, 0, 0, 14, 3, 18, 9, 10, 4, 0, 6, 0, 7, 0]","[10, 12, 13, 15, 17, 19]"
726,"[5, 9, 0, 0, 0, 17, 0, 0, 20, 0, 9, 18, 0, 10, 16, 18, 6, 4, 0, 13]","[1, 14, 16, 17, 20]"
727,"[5, 6, 0, 15, 0, 2, 0, 0, 0, 14, 0, 15, 2, 10, 0, 18, 6, 0, 0, 9]","[1, 14, 16, 17, 20]"
728,"[5, 20, 0, 0, 1, 17, 3, 13, 11, 14, 9, 0, 8, 16, 4, 0, 0, 0, 7, 9]","[5, 6, 7, 9, 10, 13, 15]"
729,"[5, 9, 0, 16, 0, 2, 0, 0, 11, 0, 0, 0, 0, 0, 12, 4, 6, 0, 0, 0]","[1, 9, 16, 17]"
730,"[16, 0, 0, 16, 0, 2, 3, 0, 20, 14, 9, 15, 0, 0, 4, 14, 0, 4, 2, 13]","[10, 11, 12, 18, 19]"
731,"[0, 13, 0, 18, 1, 2, 3, 13, 13, 14, 20, 0, 0, 4, 16, 1, 6, 0, 7, 9]","[8, 10, 11, 15, 17, 19]"
732,"[16, 0, 0, 0, 7, 2, 0, 0, 11, 0, 9, 0, 20, 10, 12, 15, 6, 4, 7, 13]","[14, 16, 17, 19, 20]"
733,"[0, 13, 0, 0, 7, 17, 5, 13, 13, 14, 3, 18, 2, 0, 0, 0, 6, 16, 0, 11]","[5, 10, 11, 13, 17, 18]"
734,"[16, 19, 11, 18, 1, 0, 0, 13, 0, 0, 0, 15, 0, 0, 16, 14, 6, 0, 2, 0]","[3, 5, 8, 15, 17, 19]"
735,"[16, 6, 0, 0, 7, 17, 3, 0, 0, 14, 3, 18, 8, 4, 0, 18, 6, 0, 0, 0]","[1, 5, 10, 11, 12, 13, 17]"
736,"[0, 20, 0, 0, 1, 17, 19, 0, 0, 14, 0, 0, 2, 16, 16, 0, 6, 16, 7, 11]","[5, 7, 10, 17, 18, 20]"
737,"[5, 9, 0, 15, 0, 0, 19, 13, 0, 14, 3, 0, 9, 0, 0, 0, 0, 12, 0, 9]","[1, 8, 10, 11, 18]"
738,"[5, 19, 11, 0, 0, 17, 0, 0, 0, 14, 0, 15, 0, 0, 16, 14, 6, 16, 0, 0]","[2, 3, 6, 10, 12, 18]"
739,"[0, 13, 0, 16, 7, 2, 0, 13, 11, 14, 0, 15, 8, 16, 0, 0, 6, 0, 2, 2]","[5, 9, 12, 13, 14, 17]"
740,"[0, 13, 7, 0, 1, 17, 0, 13, 20, 14, 0, 0, 0, 0, 0, 14, 6, 12, 0, 11]","[5, 10, 17, 18, 20]"
741,"[0, 20, 11, 0, 0, 0, 19, 13, 20, 14, 20, 0, 2, 4, 16, 4, 6, 0, 7, 11]","[8, 10, 11, 15, 17, 19]"
742,"[0, 20, 7, 0, 1, 0, 3, 0, 0, 14, 3, 18, 0, 10, 4, 14, 6, 0, 2, 0]","[5, 10, 11, 12, 15, 17, 19]"
743,"[0, 13, 0, 18, 1, 2, 0, 0, 20, 14, 20, 0, 9, 4, 16, 1, 6, 0, 0, 0]","[5, 10, 13, 15, 17]"
744,"[0, 0, 0, 16, 0, 17, 0, 13, 0, 0, 0, 0, 9, 16, 0, 15, 6, 4, 7, 0]","[13, 17, 18, 19]"
745,"[16, 20, 11, 18, 7, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0]","[2, 4, 5, 6]"
746,"[5, 0, 11, 16, 7, 2, 3, 0, 0, 14, 0, 0, 0, 4, 0, 18, 0, 0, 0, 0]","[1, 3, 6, 16]"
747,"[5, 20, 7, 15, 7, 0, 5, 0, 0, 14, 20, 15, 8, 16, 0, 0, 6, 12, 2, 0]","[7, 11, 12, 14, 17, 19]"
748,"[16, 19, 11, 16, 0, 0, 19, 13, 13, 14, 20, 0, 9, 16, 16, 0, 6, 12, 7, 11]","[8, 10, 11, 17, 18, 19]"
749,"[16, 9, 0, 15, 0, 0, 3, 0, 2, 14, 9, 0, 20, 0, 16, 1, 6, 0, 2, 2]","[10, 11, 15, 17, 19]"
750,"[0, 20, 0, 14, 0, 17, 0, 13, 11, 14, 3, 0, 0, 16, 0, 1, 6, 4, 0, 0]","[8, 10, 11, 17, 18]"
751,"[5, 20, 7, 16, 7, 0, 5, 13, 20, 0, 0, 18, 0, 0, 12, 4, 0, 0, 0, 0]","[1, 3, 9, 16]"
752,"[0, 9, 0, 0, 0, 2, 19, 13, 0, 0, 9, 15, 2, 16, 16, 4, 6, 0, 0, 0]","[7, 8, 11, 12, 14, 17]"
753,"[0, 0, 0, 18, 7, 17, 3, 0, 0, 0, 9, 18, 2, 4, 0, 0, 6, 4, 7, 9]","[12, 14, 17, 19, 20]"
754,"[16, 20, 11, 0, 1, 17, 3, 13, 0, 14, 20, 18, 2, 0, 12, 4, 6, 0, 2, 11]","[5, 8, 10, 11, 15, 17, 19]"
755,"[5, 6, 11, 18, 0, 17, 0, 13, 0, 0, 20, 0, 0, 0, 4, 0, 6, 4, 0, 2]","[1, 8, 11, 17, 18]"
756,"[5, 0, 0, 18, 1, 17, 0, 0, 11, 14, 0, 18, 0, 4, 12, 0, 0, 16, 7, 2]","[1, 6, 9, 12, 14, 19]"
757,"[0, 19, 11, 18, 0, 0, 19, 13, 0, 14, 9, 0, 0, 4, 16, 0, 0, 12, 7, 2]","[8, 10, 11, 18, 19]"
758,"[5, 20, 0, 0, 0, 0, 0, 0, 0, 14, 20, 0, 0, 10, 0, 0, 0, 4, 7, 0]","[1, 10, 11, 18, 19]"
759,"[5, 9, 7, 18, 1, 0, 5, 0, 2, 14, 20, 0, 2, 0, 16, 4, 6, 4, 2, 9]","[7, 10, 11, 17, 18, 19]"
760,"[16, 6, 0, 0, 0, 17, 3, 13, 0, 14, 0, 0, 2, 0, 0, 0, 0, 0, 0, 11]","[1, 6, 7, 10, 20]"
761,"[16, 20, 7, 16, 7, 2, 3, 13, 0, 0, 9, 0, 0, 16, 0, 0, 6, 0, 0, 13]","[5, 8, 11, 14, 17]"
762,"[5, 0, 0, 0, 0, 17, 0, 0, 0, 14, 0, 18, 20, 4, 0, 0, 0, 0, 7, 11]","[1, 6, 12, 14, 19, 20]"
763,"[0, 0, 0, 0, 0, 0, 3, 0, 20, 14, 3, 0, 9, 16, 16, 18, 6, 16, 0, 13]","[10, 11, 17, 18, 20]"
764,"[0, 13, 0, 18, 1, 0, 3, 0, 11, 14, 0, 15, 2, 16, 0, 0, 0, 0, 0, 9]","[5, 7, 12, 14, 20]"
765,"[16, 0, 0, 15, 7, 0, 0, 0, 0, 0, 9, 18, 9, 4, 16, 15, 0, 4, 2, 13]","[11, 12, 15, 19]"
766,"[0, 0, 0, 18, 7, 17, 3, 13, 2, 0, 3, 0, 2, 10, 0, 4, 0, 0, 2, 13]","[4, 5, 6, 11, 14, 20]"
767,"[5, 13, 0, 15, 1, 2, 5, 0, 20, 14, 0, 15, 0, 4, 12, 1, 0, 4, 7, 2]","[1, 9, 10, 12, 18, 19]"
768,"[0, 20, 0, 0, 1, 17, 0, 13, 0, 14, 0, 0, 9, 4, 0, 1, 0, 16, 7, 13]","[6, 10, 18, 19, 20]"
769,"[0, 9, 0, 14, 7, 0, 0, 13, 0, 14, 20, 15, 0, 4, 12, 0, 6, 4, 0, 11]","[5, 8, 10, 11, 12, 17, 18]"
770,"[16, 0, 7, 15, 0, 2, 0, 13, 11, 0, 9, 18, 20, 10, 16, 4, 6, 16, 0, 11]","[3, 8, 11, 12, 15, 17]"
771,"[5, 20, 0, 0, 1, 0, 0, 13, 20, 14, 9, 0, 20, 0, 0, 14, 6, 12, 7, 0]","[1, 8, 11, 16, 17, 18, 19]"
772,"[0, 13, 11, 14, 0, 0, 3, 0, 13, 14, 0, 0, 9, 10, 12, 1, 0, 12, 2, 13]","[7, 14, 16, 18, 20]"
773,"[16, 6, 11, 0, 1, 17, 0, 13, 2, 14, 0, 18, 20, 0, 16, 0, 0, 0, 7, 11]","[3, 5, 6, 10, 12, 13, 15]"
774,"[0, 0, 11, 14, 1, 2, 3, 0, 2, 14, 9, 18, 0, 0, 4, 4, 6, 0, 0, 9]","[5, 7, 10, 12, 15, 17, 20]"
775,"[5, 13, 7, 16, 0, 17, 19, 13, 2, 0, 0, 15, 8, 4, 0, 4, 0, 12, 7, 0]","[1, 6, 12, 13, 14, 19]"
776,"[0, 6, 7, 14, 1, 2, 3, 0, 0, 0, 0, 18, 8, 10, 4, 18, 6, 0, 0, 0]","[5, 7, 12, 13, 15, 17]"
777,"[5, 19, 0, 14, 0, 2, 3, 13, 11, 14, 3, 0, 0, 4, 12, 4, 0, 4, 2, 0]","[1, 8, 10, 11, 18, 19]"
778,"[5, 20, 0, 0, 0, 2, 0, 0, 0, 0, 20, 18, 2, 0, 4, 0, 6, 4, 2, 2]","[1, 11, 12, 15, 17, 19]"
779,"[0, 19, 0, 14, 0, 0, 0, 13, 20, 0, 9, 18, 8, 0, 16, 15, 6, 0, 7, 9]","[8, 11, 12, 15, 17, 19]"
780,"[16, 0, 0, 14, 0, 2, 5, 0, 0, 14, 20, 15, 2, 16, 16, 1, 0, 4, 2, 9]","[7, 10, 11, 12, 18, 19]"
781,"[5, 0, 7, 0, 1, 17, 5, 13, 0, 0, 0, 15, 0, 10, 12, 1, 6, 16, 7, 9]","[14, 15, 16, 17, 19, 20]"
782,"[16, 0, 0, 0, 0, 17, 5, 13, 0, 14, 20, 0, 0, 16, 0, 1, 0, 0, 2, 0]","[7, 8, 11, 16, 19]"
783,"[5, 6, 7, 16, 7, 0, 0, 13, 11, 14, 3, 15, 0, 0, 12, 14, 0, 4, 2, 0]","[1, 8, 10, 11, 12, 18, 19]"
784,"[0, 13, 11, 15, 0, 0, 3, 0, 13, 14, 0, 18, 0, 0, 4, 1, 6, 12, 0, 2]","[7, 10, 12, 15, 17, 20]"
785,"[16, 13, 7, 16, 0, 2, 0, 0, 0, 0, 20, 15, 0, 16, 12, 1, 6, 0, 0, 0]","[3, 11, 15, 16, 17]"
786,"[0, 0, 7, 15, 7, 2, 5, 13, 11, 14, 9, 18, 9, 0, 0, 4, 0, 16, 7, 11]","[6, 7, 8, 10, 11, 18]"
787,"[16, 0, 0, 18, 0, 2, 3, 0, 20, 14, 20, 0, 2, 10, 16, 18, 0, 16, 0, 11]","[7, 14, 16, 20]"
788,"[5, 19, 0, 0, 1, 17, 19, 13, 20, 14, 9, 15, 8, 10, 12, 0, 6, 4, 0, 9]","[5, 7, 8, 10, 11, 12, 17, 18]"
789,"[16, 6, 7, 16, 0, 2, 3, 13, 2, 0, 0, 15, 0, 0, 4, 18, 6, 4, 2, 0]","[7, 8, 12, 17, 18, 19]"
790,"[5, 0, 11, 18, 1, 0, 5, 13, 13, 0, 9, 18, 9, 0, 16, 4, 0, 16, 0, 0]","[7, 8, 11, 12, 15]"
791,"[16, 6, 11, 15, 1, 0, 0, 0, 20, 0, 3, 0, 0, 10, 4, 0, 6, 4, 0, 11]","[4, 5, 14, 17, 20]"
792,"[0, 6, 0, 18, 7, 0, 3, 0, 11, 14, 0, 18, 0, 4, 4, 15, 0, 4, 2, 13]","[2, 7, 9, 10, 12, 15]"
793,"[0, 9, 7, 18, 7, 2, 3, 0, 2, 0, 0, 0, 0, 10, 12, 18, 0, 4, 2, 0]","[7, 14, 15, 16, 19]"
794,"[16, 9, 0, 15, 1, 0, 5, 13, 13, 0, 3, 0, 2, 0, 12, 0, 6, 0, 0, 9]","[5, 11, 13, 15, 17]"
795,"[0, 0, 7, 15, 1, 0, 0, 0, 2, 14, 0, 0, 2, 4, 4, 0, 6, 0, 2, 0]","[5, 10, 15, 17, 19]"
796,"[0, 6, 0, 16, 0, 0, 3, 13, 11, 0, 0, 18, 20, 16, 12, 14, 0, 12, 0, 9]","[2, 7, 9, 16, 18]"
797,"[16, 6, 11, 0, 0, 2, 19, 13, 0, 14, 3, 15, 9, 0, 12, 0, 6, 12, 0, 0]","[1, 3, 7, 10, 12, 13, 17]"
798,"[5, 0, 0, 15, 0, 0, 3, 13, 13, 14, 3, 18, 0, 0, 4, 0, 6, 0, 7, 0]","[1, 9, 10, 11, 12, 15, 17, 19]"
799,"[5, 0, 0, 16, 0, 0, 0, 0, 0, 0, 20, 18, 20, 0, 12, 0, 0, 16, 2, 13]","[1, 11, 15, 19]"
800,"[0, 0, 7, 15, 7, 17, 0, 13, 0, 0, 0, 18, 20, 0, 16, 0, 6, 0, 0, 0]","[5, 12, 13, 15, 17]"
801,"[0, 0, 11, 18, 1, 2, 3, 13, 0, 0, 0, 0, 8, 0, 16, 0, 0, 4, 7, 0]","[5, 6, 7, 8, 18]"
802,"[5, 20, 11, 15, 0, 2, 3, 13, 0, 0, 9, 0, 9, 0, 12, 0, 6, 4, 2, 0]","[1, 8, 11, 17, 18, 19]"
803,"[16, 0, 0, 0, 0, 17, 19, 13, 13, 14, 9, 0, 2, 16, 12, 18, 6, 0, 2, 0]","[8, 11, 15, 16, 17, 19]"
804,"[5, 0, 7, 0, 0, 17, 3, 0, 2, 0, 9, 0, 20, 0, 12, 0, 6, 0, 2, 13]","[1, 11, 15, 17, 19]"
805,"[16, 6, 7, 18, 0, 17, 19, 13, 0, 14, 3, 18, 2, 4, 4, 1, 6, 0, 7, 9]","[8, 10, 11, 12, 15, 17, 19]"
806,"[5, 0, 7, 18, 0, 17, 3, 13, 13, 0, 0, 18, 0, 10, 0, 18, 6, 4, 2, 0]","[7, 8, 14, 16, 17, 19]"
807,"[0, 0, 0, 0, 0, 0, 19, 0, 20, 14, 3, 15, 0, 0, 16, 1, 6, 16, 0, 9]","[7, 10, 12, 17, 18, 20]"
808,"[0, 0, 11, 14, 0, 17, 0, 13, 0, 14, 0, 15, 8, 4, 0, 0, 6, 0, 7, 9]","[12, 14, 17, 19, 20]"
809,"[16, 13, 0, 18, 1, 2, 0, 13, 0, 14, 9, 18, 0, 4, 12, 15, 0, 16, 0, 9]","[5, 6, 8, 11, 12, 14]"
810,"[16, 6, 0, 16, 0, 2, 3, 0, 20, 14, 20, 0, 9, 4, 12, 15, 0, 4, 7, 0]","[10, 13, 18, 19]"
811,"[5, 20, 0, 0, 0, 2, 3, 13, 2, 0, 0, 15, 0, 10, 0, 15, 6, 16, 7, 2]","[1, 8, 14, 16, 17, 19]"
812,"[0, 0, 0, 14, 0, 0, 5, 13, 2, 0, 3, 15, 0, 16, 4, 0, 0, 4, 7, 9]","[8, 11, 12, 18, 19]"
813,"[0, 9, 11, 15, 7, 17, 3, 13, 0, 14, 0, 15, 2, 0, 16, 0, 0, 16, 7, 0]","[6, 8, 10, 12, 18, 19]"
814,"[0, 0, 7, 0, 7, 17, 0, 0, 13, 14, 20, 0, 8, 4, 4, 0, 6, 0, 7, 9]","[10, 15, 17, 19, 20]"
815,"[16, 13, 0, 16, 0, 17, 5, 13, 0, 14, 3, 18, 8, 0, 0, 4, 6, 0, 0, 2]","[1, 10, 11, 12, 17, 20]"
816,"[5, 6, 0, 0, 7, 0, 0, 0, 13, 0, 0, 15, 0, 10, 4, 18, 0, 4, 2, 0]","[5, 9, 14, 16]"
817,"[0, 19, 0, 18, 7, 2, 0, 13, 20, 14, 3, 15, 0, 4, 4, 18, 6, 0, 0, 9]","[5, 8, 11, 12, 14, 17]"
818,"[0, 0, 11, 18, 7, 0, 3, 0, 0, 14, 0, 15, 9, 16, 16, 1, 0, 12, 0, 0]","[7, 13, 16, 18]"
819,"[16, 9, 0, 0, 7, 2, 19, 13, 2, 14, 9, 15, 9, 0, 12, 0, 0, 4, 0, 13]","[6, 7, 8, 10, 11, 12, 18]"
820,"[0, 9, 0, 15, 1, 2, 19, 13, 0, 14, 9, 18, 2, 0, 4, 18, 0, 12, 2, 9]","[5, 6, 7, 8, 10, 11, 12, 15]"
821,"[16, 0, 7, 15, 1, 0, 19, 13, 20, 14, 9, 18, 8, 16, 0, 1, 0, 0, 0, 0]","[5, 7, 8, 11, 12, 14]"
822,"[0, 0, 11, 16, 1, 17, 0, 0, 0, 0, 0, 15, 9, 0, 0, 0, 0, 0, 0, 0]","[3, 5, 6, 12, 13]"
823,"[16, 0, 0, 14, 1, 17, 5, 13, 0, 14, 9, 15, 8, 4, 12, 0, 6, 12, 0, 11]","[7, 12, 13, 14, 17, 20]"
824,"[16, 19, 0, 0, 0, 2, 3, 0, 20, 0, 9, 15, 0, 10, 12, 0, 0, 16, 0, 0]","[7, 9, 14, 15]"
825,"[0, 20, 0, 14, 1, 0, 0, 13, 0, 0, 20, 0, 2, 10, 16, 4, 6, 12, 0, 0]","[5, 8, 11, 14, 17, 18]"
826,"[16, 0, 7, 0, 7, 2, 19, 0, 2, 14, 9, 15, 20, 0, 12, 0, 0, 0, 0, 0]","[1, 6, 7, 10, 11, 12]"
827,"[5, 13, 7, 0, 1, 0, 0, 13, 13, 0, 3, 15, 20, 0, 0, 14, 6, 4, 0, 0]","[5, 9, 11, 12, 17, 18]"
828,"[0, 19, 7, 14, 7, 0, 3, 0, 11, 0, 0, 15, 8, 16, 4, 15, 6, 12, 2, 13]","[7, 9, 13, 16, 17, 18]"
829,"[5, 0, 0, 14, 7, 17, 19, 13, 11, 14, 0, 0, 9, 10, 12, 4, 0, 16, 2, 11]","[6, 7, 14, 15, 20]"
830,"[0, 0, 0, 14, 0, 17, 0, 0, 0, 14, 3, 0, 20, 16, 0, 0, 6, 0, 0, 0]","[13, 14, 17]"
831,"[5, 9, 11, 15, 0, 17, 0, 13, 2, 14, 3, 15, 0, 0, 12, 15, 0, 0, 0, 9]","[1, 6, 8, 10, 11, 15]"
832,"[5, 19, 11, 0, 0, 17, 5, 0, 0, 0, 9, 18, 20, 10, 0, 0, 6, 0, 2, 0]","[7, 11, 12, 14, 17, 19]"
833,"[5, 0, 11, 0, 0, 17, 0, 0, 0, 0, 0, 15, 0, 0, 16, 0, 6, 0, 7, 0]","[1, 12, 17, 19]"
834,"[5, 20, 11, 16, 0, 0, 0, 13, 0, 14, 20, 0, 0, 4, 0, 14, 6, 16, 2, 13]","[8, 10, 11, 17, 18, 19]"
835,"[0, 0, 7, 18, 0, 17, 5, 13, 20, 14, 20, 0, 2, 0, 0, 0, 6, 0, 7, 11]","[8, 10, 11, 17, 19]"
836,"[16, 19, 11, 0, 1, 17, 5, 13, 20, 0, 0, 18, 0, 4, 4, 0, 6, 0, 7, 13]","[3, 7, 8, 12, 15, 17]"
837,"[16, 0, 7, 0, 0, 2, 0, 13, 11, 0, 0, 0, 9, 10, 4, 0, 6, 4, 0, 2]","[3, 17, 18, 20]"
838,"[16, 0, 0, 15, 1, 2, 0, 0, 2, 14, 9, 18, 8, 4, 16, 0, 6, 12, 7, 13]","[10, 12, 15, 17, 19, 20]"
839,"[5, 13, 11, 18, 0, 17, 0, 0, 0, 14, 9, 15, 2, 0, 4, 14, 0, 4, 7, 13]","[1, 6, 10, 12, 18, 19, 20]"
840,"[5, 13, 11, 0, 0, 2, 0, 13, 0, 14, 3, 15, 9, 4, 0, 0, 0, 12, 7, 0]","[1, 8, 11, 12, 14, 19]"
841,"[5, 6, 7, 15, 1, 2, 0, 13, 0, 0, 20, 15, 2, 10, 0, 0, 6, 0, 0, 2]","[1, 3, 8, 11, 12, 14, 17]"
842,"[0, 9, 7, 0, 7, 17, 3, 0, 0, 14, 0, 18, 2, 4, 0, 18, 6, 4, 2, 0]","[7, 12, 14, 17, 19]"
843,"[16, 13, 0, 15, 7, 0, 3, 0, 2, 0, 0, 0, 0, 10, 16, 0, 0, 0, 0, 9]","[4, 7, 14, 20]"
844,"[16, 9, 7, 0, 7, 0, 19, 0, 20, 14, 0, 18, 0, 0, 0, 1, 0, 0, 0, 2]","[1, 7, 10, 12, 20]"
845,"[0, 13, 11, 15, 1, 0, 0, 13, 0, 14, 20, 18, 0, 10, 4, 0, 6, 4, 2, 0]","[5, 8, 10, 11, 12, 15, 17, 19]"
846,"[16, 13, 0, 18, 1, 0, 5, 13, 0, 14, 20, 0, 0, 0, 0, 4, 0, 4, 2, 9]","[7, 8, 10, 11, 18, 19]"
847,"[16, 13, 0, 0, 1, 17, 5, 13, 2, 0, 3, 15, 0, 16, 4, 15, 6, 16, 0, 2]","[5, 11, 12, 17, 18, 20]"
848,"[5, 6, 0, 16, 0, 17, 19, 0, 0, 14, 0, 0, 8, 16, 0, 1, 0, 12, 0, 9]","[6, 7, 16, 18, 20]"
849,"[0, 0, 7, 18, 1, 2, 3, 13, 20, 14, 9, 18, 0, 10, 16, 0, 6, 0, 2, 9]","[5, 8, 10, 11, 12, 15, 17, 19]"
850,"[0, 13, 7, 15, 1, 2, 0, 13, 20, 14, 0, 0, 2, 0, 0, 0, 6, 0, 0, 2]","[5, 10, 17, 20]"
851,"[0, 0, 7, 0, 1, 2, 3, 0, 20, 14, 0, 0, 0, 16, 12, 0, 6, 12, 2, 0]","[5, 7, 10, 17, 18, 19]"
852,"[5, 9, 11, 0, 7, 2, 19, 13, 2, 14, 20, 18, 9, 0, 4, 4, 6, 0, 0, 13]","[7, 8, 10, 11, 12, 15, 17]"
853,"[5, 0, 11, 0, 0, 17, 19, 13, 20, 0, 20, 15, 8, 0, 12, 1, 6, 16, 7, 9]","[8, 11, 15, 16, 17, 19]"
854,"[0, 0, 0, 0, 1, 0, 5, 13, 0, 14, 20, 18, 2, 0, 12, 4, 0, 0, 7, 0]","[8, 10, 11, 15, 19]"
855,"[5, 6, 11, 0, 7, 17, 0, 0, 0, 14, 0, 0, 0, 10, 12, 15, 0, 0, 7, 9]","[1, 6, 14, 16, 19, 20]"
856,"[5, 19, 11, 0, 1, 0, 0, 13, 0, 14, 20, 0, 0, 0, 4, 0, 6, 12, 0, 2]","[5, 8, 10, 11, 17, 18]"
857,"[0, 9, 7, 0, 0, 2, 0, 0, 13, 14, 0, 15, 20, 16, 0, 4, 6, 0, 0, 13]","[3, 12, 14, 17, 20]"
858,"[0, 6, 7, 16, 7, 0, 19, 13, 0, 0, 0, 18, 0, 16, 16, 18, 6, 4, 2, 0]","[8, 12, 15, 17, 19]"
859,"[5, 0, 0, 0, 0, 2, 3, 0, 0, 0, 9, 0, 0, 4, 4, 14, 0, 0, 7, 9]","[1, 16, 19, 20]"
860,"[0, 0, 0, 15, 7, 0, 0, 13, 13, 14, 9, 0, 0, 16, 16, 0, 6, 0, 2, 2]","[8, 10, 11, 15, 17, 19]"
861,"[16, 6, 11, 16, 7, 17, 0, 0, 0, 14, 3, 18, 9, 0, 0, 14, 6, 0, 0, 2]","[1, 5, 10, 11, 12, 17, 20]"
862,"[0, 0, 0, 0, 7, 17, 0, 13, 0, 14, 9, 0, 8, 10, 0, 15, 0, 4, 2, 0]","[5, 6, 8, 11, 14, 16]"
863,"[5, 20, 11, 18, 0, 0, 3, 0, 0, 0, 20, 15, 0, 0, 16, 14, 6, 16, 2, 0]","[11, 12, 17, 18, 19]"
864,"[5, 19, 0, 18, 0, 2, 0, 13, 0, 14, 20, 18, 0, 0, 4, 15, 6, 12, 7, 0]","[1, 8, 10, 11, 12, 15, 17, 19]"
865,"[5, 19, 7, 18, 7, 17, 3, 13, 0, 14, 9, 18, 0, 4, 16, 1, 6, 4, 0, 11]","[5, 8, 10, 11, 12, 15, 17]"
866,"[16, 0, 11, 15, 0, 0, 19, 0, 0, 0, 9, 15, 0, 10, 12, 18, 0, 0, 7, 0]","[11, 14, 15, 16, 19]"
867,"[0, 0, 7, 15, 0, 0, 5, 0, 20, 0, 9, 0, 8, 4, 12, 14, 0, 0, 0, 0]","[7, 13, 15, 16]"
868,"[0, 0, 0, 14, 0, 2, 19, 0, 13, 14, 3, 0, 0, 16, 4, 0, 6, 4, 2, 9]","[10, 11, 17, 18, 19]"
869,"[5, 9, 11, 0, 1, 2, 0, 0, 13, 0, 3, 18, 0, 0, 0, 18, 6, 16, 7, 2]","[1, 9, 11, 16, 17, 19]"
870,"[0, 19, 7, 0, 7, 2, 19, 13, 11, 0, 3, 0, 0, 10, 0, 0, 0, 0, 7, 13]","[5, 6, 8, 11, 14]"
871,"[0, 0, 0, 18, 7, 2, 0, 0, 0, 14, 3, 18, 0, 16, 4, 18, 0, 4, 7, 0]","[5, 6, 10, 11, 12, 15]"
